"cat_no","context","figure_num","gender","qualifier","n_descriptors","n_in_dict","coverage_pct","dirmean_Warmth","dirmean_Competence","dirmean_Sociability","dirmean_Morality","dirmean_Ability","dirmean_Assertiveness","dirmean_Status","dirmean_Beliefs","dirmean_health","dirmean_deviance","dirmean_beauty","dirmean_Politics","dirmean_Religion","n_dirmean_Warmth","n_dirmean_Competence","n_dirmean_Sociability","n_dirmean_Morality","n_dirmean_Ability","n_dirmean_Assertiveness","n_dirmean_Status","n_dirmean_Beliefs","n_dirmean_health","n_dirmean_deviance","n_dirmean_beauty","n_dirmean_Politics","n_dirmean_Religion","asymmetry"
"P001246","secular",1,"Male","",25,15,60,-0.5,1,NA,-0.5,1,1,1,NA,1,NA,NA,NA,NA,2,6,0,2,2,4,2,0,1,0,0,0,0,-1.5
"P001247","secular",1,"Male","",34,21,61.7647058823529,-0.666666666666667,1,-0.5,-1,1,1,1,NA,0,NA,NA,NA,NA,3,8,2,1,2,6,6,0,2,0,0,0,0,-1.66666666666667
"P001248","secular",1,"Male","",33,20,60.6060606060606,0,1,1,-1,1,1,0.833333333333333,NA,1,NA,NA,NA,NA,2,8,1,1,3,6,3,0,1,0,0,0,0,-1
"P001249","secular",1,"Male","",32,17,53.125,-0.666666666666667,1,0,-1,1,1,1,1,NA,NA,NA,NA,1,3,6,1,2,2,5,3,1,0,0,0,0,1,-1.66666666666667
"P001249","secular",2,"Male","",27,16,59.2592592592593,0.666666666666667,0.9375,0.833333333333333,0.6,0.9,1,1,NA,NA,NA,NA,NA,NA,9,8,6,5,5,3,1,0,0,0,0,0,0,-0.270833333333333
"P001249","secular",3,"Male","",32,14,43.75,-1,1,-1,-1,1,1,1,1,1,NA,NA,NA,1,3,4,2,2,2,2,3,1,1,0,0,0,1,-2
"P001249","secular",4,"Male","",26,11,42.3076923076923,0.75,0.875,1,0.666666666666667,0.833333333333333,1,1,1,NA,NA,NA,NA,1,4,4,3,3,3,1,1,1,0,0,0,0,1,-0.125
"P001249","secular",5,"Male","",28,12,42.8571428571429,-0.666666666666667,0.666666666666667,-0.666666666666667,-1,1,0.5,1,1,NA,NA,NA,NA,1,3,6,3,1,2,4,2,1,0,0,0,0,1,-1.33333333333333
"P001250","secular",1,"Male","",38,20,52.6315789473684,0.2,1,0.5,-1,1,1,1,NA,1,NA,NA,NA,NA,5,10,4,1,3,7,2,0,1,0,0,0,0,-0.8
"P001251","religious",1,"Female","",34,18,52.9411764705882,0.5,0.916666666666667,0.5,0.5,0.875,1,0.75,1,-1,NA,NA,NA,1,6,6,4,2,4,2,2,2,1,0,0,0,2,-0.416666666666667
"P001252","religious",1,"Female","",37,27,72.972972972973,0.571428571428571,0.8125,0.6,0.666666666666667,0.875,0.75,0.9,NA,NA,NA,1,NA,NA,7,8,5,3,4,4,5,0,0,0,1,0,0,-0.241071428571429
"P001253","religious",1,"Female","",39,23,58.974358974359,0.125,0.583333333333333,0.2,0,0.833333333333333,-0.333333333333333,0.5,1,NA,NA,NA,NA,1,8,6,5,3,3,3,1,2,0,0,0,0,2,-0.458333333333333
"P001254","religious",1,"Female","",22,14,63.6363636363636,0.75,0.666666666666667,0.666666666666667,1,1,0.5,1,1,NA,NA,NA,NA,1,4,3,3,1,1,2,2,1,0,0,0,0,1,0.0833333333333334
"P001254","religious",2,"Female","",21,12,57.1428571428571,0.8,0,0.5,1,1,-1,NA,NA,NA,NA,NA,NA,NA,5,4,2,3,2,2,0,0,0,0,0,0,0,0.8
"P001254","religious",3,"Male","",21,13,61.9047619047619,0.6,0.1,0.5,0.666666666666667,0.833333333333333,-1,-0.333333333333333,NA,NA,NA,NA,NA,NA,5,5,2,3,3,2,3,0,0,0,0,0,0,0.5
"P001254","religious",4,"Female","",21,13,61.9047619047619,0.666666666666667,1,0.666666666666667,NA,1,1,1,1,NA,NA,NA,NA,1,3,3,3,0,1,2,3,1,0,0,0,0,1,-0.333333333333333
"P001254","religious",5,"Male","",20,13,65,0.6,0.1,0.5,0.666666666666667,0.833333333333333,-1,0,NA,NA,NA,NA,NA,NA,5,5,2,3,3,2,4,0,0,0,0,0,0,0.5
"P001255","religious",1,"Female","",18,8,44.4444444444444,0.5,0,0.5,NA,1,-1,1,NA,NA,NA,NA,NA,NA,2,2,2,0,1,1,1,0,0,0,0,0,0,0.5
"P001255","religious",2,"Female","",20,12,60,1,0.75,1,NA,1,0.666666666666667,1,NA,NA,NA,NA,NA,NA,3,4,3,0,1,3,2,0,0,0,0,0,0,0.25
"P001255","religious",3,"Male","",23,15,65.2173913043478,0.5,0,0.5,NA,1,-1,NA,NA,NA,NA,NA,NA,NA,4,4,4,0,2,2,0,0,0,0,0,0,0,0.5
"P001255","religious",4,"Male","",19,11,57.8947368421053,1,-0.333333333333333,1,1,1,-1,1,NA,NA,NA,NA,NA,NA,2,3,1,1,1,2,2,0,0,0,0,0,0,1.33333333333333
"P001255","religious",5,"Male","",19,13,68.4210526315789,1,0.2,1,NA,1,-1,1,NA,NA,NA,NA,NA,NA,1,5,1,0,2,3,1,0,0,0,0,0,0,0.8
"P001256","religious",1,"Female","",23,13,56.5217391304348,0.666666666666667,1,0.6,1,1,NA,NA,-0.5,NA,-1,NA,-0.5,NA,6,2,5,1,2,0,0,1,0,1,0,1,0,-0.333333333333333
"P001256","religious",2,"Male","",11,7,63.6363636363636,1,-0.666666666666667,NA,1,-1,-0.5,NA,NA,NA,NA,NA,NA,NA,2,3,0,2,1,2,0,0,0,0,0,0,0,1.66666666666667
"P001256","religious",3,"Male","",16,9,56.25,1,0.5,NA,1,1,0,-1,NA,NA,NA,NA,NA,NA,3,2,0,3,1,1,1,0,0,0,0,0,0,0.5
"P001256","religious",4,"Male","",12,7,58.3333333333333,0.5,0,0,1,0,1,1,0,NA,NA,NA,0,NA,2,2,1,1,2,1,1,1,0,0,0,1,0,0.5
"P001256","religious",5,"Male","",18,10,55.5555555555556,0.6,0.75,0,0.75,0.5,1,1,NA,NA,NA,NA,NA,NA,5,2,1,4,1,1,4,0,0,0,0,0,0,-0.15
"P001257","religious",1,"Male","",19,9,47.3684210526316,1,0,1,1,1,-0.5,1,NA,NA,NA,NA,NA,NA,3,3,2,1,1,2,1,0,0,0,0,0,0,1
"P001257","religious",2,"Female","",21,10,47.6190476190476,0.5,NA,0.5,NA,NA,NA,1,0,NA,NA,NA,0,NA,4,0,4,0,0,0,1,1,0,0,0,1,0,NA
"P001257","religious",3,"Female","",18,9,50,NA,0.25,NA,NA,1,0,1,NA,NA,NA,NA,NA,NA,0,4,0,0,1,3,2,0,0,0,0,0,0,NA
"P001257","religious",4,"Male","",16,10,62.5,-0.25,1,0,-0.5,1,1,0.833333333333333,NA,NA,NA,NA,NA,NA,2,2,1,1,1,1,6,0,0,0,0,0,0,-1.25
"P001257","religious",5,"Female","",18,9,50,NA,0.25,NA,NA,1,0,1,NA,NA,NA,NA,NA,NA,0,4,0,0,1,3,2,0,0,0,0,0,0,NA
"P001258","religious",1,"Female","",24,13,54.1666666666667,0.714285714285714,1,0.6,1,1,1,1,NA,NA,NA,NA,NA,NA,7,2,5,2,1,1,4,0,0,0,0,0,0,-0.285714285714286
"P001258","religious",2,"Male","",22,11,50,0.8,-0.333333333333333,0.666666666666667,1,1,-1,1,NA,NA,NA,NA,NA,NA,5,3,3,2,1,2,1,0,0,0,0,0,0,1.13333333333333
"P001258","religious",3,"Female","",16,13,81.25,0.6,0.25,0.5,0.75,0.166666666666667,0.333333333333333,NA,0,-1,NA,NA,0,NA,5,6,2,4,3,3,0,1,1,0,0,1,0,0.35
"P001258","religious",4,"Male","",24,15,62.5,0.5,0.875,0,0.666666666666667,0.75,1,0.833333333333333,1,NA,NA,NA,NA,1,4,4,1,3,2,2,6,2,0,0,0,0,2,-0.375
"P001258","religious",5,"Male","",18,11,61.1111111111111,0.4,0.75,0,0.666666666666667,0.75,NA,1,NA,NA,NA,NA,NA,NA,5,2,2,3,2,0,3,0,0,0,0,0,0,-0.35
"P001259","religious",1,"Female","",23,13,56.5217391304348,0.6,0.583333333333333,0.75,0.5,0.833333333333333,-0.333333333333333,1,NA,NA,NA,NA,NA,NA,5,6,4,2,3,3,1,0,0,0,0,0,0,0.0166666666666666
"P001259","religious",2,"Male","",27,17,62.962962962963,0.666666666666667,0.785714285714286,1,0.5,0.833333333333333,0.75,1,NA,NA,NA,NA,NA,NA,3,7,1,2,3,4,7,0,0,0,0,0,0,-0.119047619047619
"P001259","religious",3,"Male","",28,17,60.7142857142857,0.833333333333333,0.0833333333333333,1,0.666666666666667,0.166666666666667,0,0,0.75,NA,NA,NA,0,0.666666666666667,6,6,4,3,3,3,1,4,0,0,0,1,3,0.75
"P001259","religious",4,"Male","",27,17,62.962962962963,0.666666666666667,0.916666666666667,1,0.5,0.875,1,1,NA,-1,NA,NA,NA,NA,3,6,1,2,4,2,7,0,1,0,0,0,0,-0.25
"P001259","religious",5,"Male","",26,14,53.8461538461538,0.666666666666667,0.5,1,0,0.875,-0.666666666666667,1,1,NA,NA,NA,NA,1,3,7,2,1,4,3,1,1,0,0,0,0,1,0.166666666666667
"P001260","religious",1,"Female","",36,19,52.7777777777778,0.857142857142857,0.7,1,0.666666666666667,0.833333333333333,0.5,1,NA,NA,NA,NA,NA,NA,7,5,4,3,3,2,5,0,0,0,0,0,0,0.157142857142857
"P001260","religious",2,"Male","",27,14,51.8518518518518,0.5,-0.125,0.5,0.5,0.75,-1,0.166666666666667,1,NA,NA,NA,NA,1,4,4,2,2,2,2,6,1,0,0,0,0,1,0.625
"P001260","religious",3,"Female","",25,16,64,0.666666666666667,0.5,NA,0.666666666666667,0.833333333333333,0,0.5,1,NA,NA,NA,NA,1,3,5,0,3,3,2,4,1,0,0,0,0,1,0.166666666666667
"P001260","religious",4,"Male","",28,17,60.7142857142857,0.5,0.928571428571429,NA,0.5,0.9,1,1,NA,NA,NA,NA,NA,NA,2,7,0,2,5,2,4,0,0,0,0,0,0,-0.428571428571429
"P001260","religious",5,"Female","",28,16,57.1428571428571,0.5,-0.3,0.5,0.5,0.166666666666667,-1,0,0.5,NA,NA,NA,0,1,4,5,2,2,3,2,4,2,0,0,0,1,1,0.8
"P001261","religious",1,"Male","",39,19,48.7179487179487,0.333333333333333,0.875,0.5,0,0.916666666666667,0.571428571428571,1,1,NA,NA,NA,NA,1,3,12,2,1,6,7,3,1,0,0,0,0,1,-0.541666666666667
"P001262","religious",1,"Male","",25,13,52,0.5,1,0.5,NA,1,1,1,1,NA,NA,NA,NA,1,4,4,4,0,3,1,3,1,0,0,0,0,1,-0.5
"P001262","religious",2,"Male","",23,9,39.1304347826087,0.333333333333333,0.9,0,0.5,0.875,1,1,NA,NA,NA,NA,NA,NA,3,5,1,2,4,1,1,0,0,0,0,0,0,-0.566666666666667
"P001262","religious",3,"Male","",16,10,62.5,0.5,0.375,0.5,0.5,0.833333333333333,-1,0,1,NA,NA,NA,NA,1,4,4,2,2,3,1,2,1,0,0,0,0,1,0.125
"P001262","religious",4,"Male","",26,18,69.2307692307692,0,0.5,NA,0,0.75,0.333333333333333,0.833333333333333,NA,-1,NA,NA,NA,NA,1,5,0,1,2,3,6,0,1,0,0,0,0,-0.5
"P001262","religious",5,"Female","",20,11,55,0.333333333333333,0.375,0,0.5,0.375,NA,1,0,NA,NA,NA,0,NA,3,4,1,2,4,0,1,1,0,0,0,1,0,-0.0416666666666667
"P001263","religious",1,"Female","",36,18,50,0.25,0.625,1,-0.5,0.75,0.5,1,0,NA,NA,NA,0,NA,4,4,2,2,2,2,4,1,0,0,0,1,0,-0.375
"P001263","religious",2,"Male","",34,18,52.9411764705882,0.5,0.375,0.5,0.5,0.833333333333333,-1,0,1,NA,-1,NA,NA,1,6,4,4,2,3,1,2,4,0,1,0,0,4,0.125
"P001263","religious",3,"Female","",34,21,61.7647058823529,0.25,-0.125,0,0.666666666666667,0.75,-1,0.333333333333333,1,-1,NA,NA,NA,1,4,4,2,3,2,2,3,5,1,0,0,0,5,0.375
"P001263","religious",4,"Male","",31,19,61.2903225806452,0.5,0.125,1,0.4,0.75,-0.5,1,1,NA,-1,NA,NA,1,6,4,1,5,2,2,1,2,0,1,0,0,2,0.375
"P001263","religious",5,"Male","",29,16,55.1724137931034,0,0.375,0.333333333333333,-0.5,0.833333333333333,-1,-0.5,1,NA,NA,NA,NA,1,5,4,3,2,3,1,2,2,0,0,0,0,2,-0.375
"P001264","secular",1,"Male","",31,16,51.6129032258064,0.333333333333333,0.904761904761905,1,0,1,0.833333333333333,0.866666666666667,1,NA,NA,NA,1,NA,3,7,1,2,3,4,5,1,0,0,0,1,0,-0.571428571428571
"P001265","secular",1,"Female","",34,22,64.7058823529412,0,0.583333333333333,0,0,0.625,0.222222222222222,0.766666666666667,NA,NA,NA,NA,NA,NA,3,10,2,1,4,6,5,0,0,0,0,0,0,-0.583333333333333
"P001266","secular",1,"Male","",33,19,57.5757575757576,0,0.95,0,0,0.875,0.666666666666667,0.875,0,NA,0,NA,0,NA,4,10,3,1,4,6,4,1,0,1,0,1,0,-0.95
"P001267","secular",1,"Male","",34,16,47.0588235294118,0.25,0.9375,NA,0.25,0.9,0.5,0.9,NA,NA,NA,NA,NA,NA,4,8,0,4,5,4,5,0,0,0,0,0,0,-0.6875
"P001268","secular",1,"Female","",35,17,48.5714285714286,0.25,0.9,NA,0.25,0.75,1,1,1,-1,NA,NA,1,NA,4,5,0,4,2,3,4,1,1,0,0,1,0,-0.65
"P001269","secular",1,"Male","",22,14,63.6363636363636,0.666666666666667,0.9,1,0.666666666666667,0.75,1,1,NA,NA,NA,NA,NA,NA,3,5,1,3,2,3,4,0,0,0,0,0,0,-0.233333333333333
"P001271","secular",1,"Male","",28,18,64.2857142857143,0.5,0.87037037037037,1,0,0.833333333333333,0.888888888888889,0.866666666666667,1,NA,NA,NA,1,NA,2,9,1,1,3,6,5,1,0,0,0,1,0,-0.37037037037037
"P001272","secular",1,"Female","",50,24,48,0.166666666666667,0.833333333333333,0.5,-0.5,0.9,0.25,0.833333333333333,NA,NA,NA,NA,NA,NA,6,9,4,2,5,4,3,0,0,0,0,0,0,-0.666666666666667
"P001275","secular",1,"Female","",30,20,66.6666666666667,0.666666666666667,0.4375,0.75,0.5,0.833333333333333,0.2,0.5,1,NA,NA,NA,NA,0.666666666666667,6,8,4,2,3,5,1,3,0,0,0,0,3,0.229166666666667
"P001276","secular",1,"Male","",37,25,67.5675675675676,-0.5,0.642857142857143,-1,-0.25,0.833333333333333,0,1,NA,-1,NA,NA,NA,NA,6,7,2,4,3,4,3,0,1,0,0,0,0,-1.14285714285714
"P001277","secular",1,"Female","",42,24,57.1428571428571,0.6875,0.756410256410256,0.75,0.5,0.9,0.666666666666667,0.777777777777778,NA,NA,NA,NA,NA,NA,8,13,6,2,5,8,3,0,0,0,0,0,0,-0.0689102564102563
"P001278","religious",1,"Male","",49,32,65.3061224489796,0.428571428571429,0.785714285714286,0.25,0.666666666666667,0.875,0.666666666666667,0.857142857142857,1,NA,NA,NA,NA,1,7,7,4,3,4,3,7,2,0,0,0,0,2,-0.357142857142857
"P001278","religious",2,"Female","",50,27,54,0.5,0.125,0.666666666666667,0.5,1,-0.4,1,1,NA,NA,NA,NA,1,6,8,3,4,3,5,2,1,0,0,0,0,1,0.375
"P001278","religious",3,"Male","",38,24,63.1578947368421,0.3,0.916666666666667,0.6,0,0.875,1,1,1,NA,NA,NA,NA,1,10,6,5,5,4,2,3,1,0,0,0,0,1,-0.616666666666667
"P001278","religious",4,"Female","",31,18,58.0645161290323,0.4,0.916666666666667,1,0.25,0.875,1,1,1,NA,NA,NA,1,NA,5,6,1,4,4,2,3,1,0,0,0,1,0,-0.516666666666667
"P001280","secular",1,"Female","",29,13,44.8275862068966,NA,1,NA,NA,1,1,1,1,NA,NA,NA,1,NA,0,3,0,0,1,2,3,1,0,0,0,1,0,NA
"P001281","secular",1,"Female","",30,17,56.6666666666667,0.5,0.69047619047619,1,0,0.833333333333333,0.583333333333333,0.866666666666667,NA,NA,NA,NA,NA,NA,2,7,1,1,3,4,5,0,0,0,0,0,0,-0.19047619047619
"P001282","secular",1,"Male","",42,22,52.3809523809524,0.2,0.5,0,0.5,0.75,0.4,1,1,NA,NA,NA,1,NA,5,7,3,2,2,5,5,1,0,0,0,1,0,-0.3
"P001284","secular",1,"Female","",29,15,51.7241379310345,0.5,0.357142857142857,0.5,0.5,0.75,0.2,1,1,NA,NA,NA,1,NA,4,7,2,2,2,5,3,1,0,0,0,1,0,0.142857142857143
"P001285","secular",1,"Male","",32,18,56.25,0.666666666666667,0.783333333333333,1,0.5,0.9,0.666666666666667,0.833333333333333,1,NA,NA,NA,1,NA,3,10,1,2,5,5,4,1,0,0,0,1,0,-0.116666666666667
"P001286","religious",1,"Female","",33,22,66.6666666666667,0.583333333333333,0.5,0.636363636363636,0.5,0.833333333333333,0,1,-0.5,NA,-1,NA,-0.5,NA,12,5,11,2,3,2,2,1,0,1,0,1,0,0.0833333333333334
"P001288","secular",1,"Male","",27,13,48.1481481481481,0.666666666666667,0.87037037037037,1,0.5,0.875,0.866666666666667,0.833333333333333,NA,NA,NA,NA,NA,NA,3,9,1,2,4,5,4,0,0,0,0,0,0,-0.203703703703704
"P001289","religious",1,"Female","",37,20,54.0540540540541,0.8,0.785714285714286,1,0,0.833333333333333,0.75,1,NA,NA,NA,NA,NA,NA,5,7,4,1,3,4,4,0,0,0,0,0,0,0.0142857142857143
"P001289","religious",2,"Female","",32,18,56.25,0.555555555555556,0.625,0.4,0.75,0.833333333333333,0,1,0.5,NA,NA,NA,0,1,9,4,5,4,3,1,1,2,0,0,0,1,1,-0.0694444444444444
"P001289","religious",3,"Female","",29,17,58.6206896551724,0.5,0.625,0.4,0.666666666666667,0.833333333333333,0,1,0.5,NA,NA,NA,0,1,8,4,5,3,3,1,1,2,0,0,0,1,1,-0.125
"P001289","religious",4,"Male","",32,18,56.25,0.555555555555556,0.625,0.4,0.75,0.833333333333333,0,1,0.5,NA,NA,NA,0,1,9,4,5,4,3,1,1,2,0,0,0,1,1,-0.0694444444444444
"P001289","religious",5,"Male","",29,17,58.6206896551724,0.5,0.625,0.4,0.666666666666667,0.833333333333333,0,1,0.5,NA,NA,NA,0,1,8,4,5,3,3,1,1,2,0,0,0,1,1,-0.125
"P001290","religious",1,"Male","",27,11,40.7407407407407,0,1,0,NA,1,1,1,NA,NA,NA,NA,NA,NA,2,3,2,0,1,2,3,0,0,0,0,0,0,-1
"P001290","religious",2,"Female","",24,13,54.1666666666667,0.666666666666667,-0.333333333333333,0.666666666666667,NA,1,-1,1,NA,NA,NA,NA,NA,NA,3,3,3,0,1,2,1,0,0,0,0,0,0,1
"P001290","religious",3,"Male","",22,12,54.5454545454545,1,0.8,1,NA,1,0.5,1,NA,NA,NA,NA,NA,NA,1,5,1,0,3,2,1,0,0,0,0,0,0,0.2
"P001290","religious",4,"Female","",27,13,48.1481481481481,0.333333333333333,-0.333333333333333,0.333333333333333,NA,1,-1,1,1,NA,NA,NA,NA,1,3,3,3,0,1,2,1,1,0,0,0,0,1,0.666666666666667
"P001290","religious",5,"Male","",25,12,48,0.333333333333333,-0.333333333333333,0.333333333333333,NA,1,-1,1,1,NA,NA,NA,NA,1,3,3,3,0,1,2,1,1,0,0,0,0,1,0.666666666666667
"P001291","religious",1,"Male","",27,15,55.5555555555556,0.75,1,0.666666666666667,1,1,1,1,NA,NA,NA,NA,NA,NA,4,4,3,1,3,1,6,0,0,0,0,0,0,-0.25
"P001291","religious",2,"Male","",18,12,66.6666666666667,0.25,0.166666666666667,0.333333333333333,0,0.75,0,-1,1,NA,NA,NA,NA,1,4,3,3,1,2,2,1,2,0,0,0,0,2,0.0833333333333333
"P001291","religious",3,"Female","",19,9,47.3684210526316,0.666666666666667,0.9,1,0.5,0.833333333333333,1,1,NA,NA,NA,NA,NA,NA,3,5,1,2,3,2,3,0,0,0,0,0,0,-0.233333333333333
"P001291","religious",4,"Male","",19,13,68.4210526315789,0.333333333333333,0.357142857142857,0,0.5,0.875,-0.5,1,NA,NA,NA,NA,NA,NA,3,7,1,2,4,4,2,0,0,0,0,0,0,-0.0238095238095238
"P001291","religious",5,"Male","",19,12,63.1578947368421,0.5,0.125,0.666666666666667,0,0.75,-0.5,NA,NA,NA,NA,NA,NA,NA,4,4,3,1,2,2,0,0,0,0,0,0,0,0.375
"P001293","religious",1,"Female","",24,10,41.6666666666667,0,1,0,NA,1,1,1,0,NA,NA,NA,0,NA,1,3,1,0,1,2,3,1,0,0,0,1,0,-1
"P001293","religious",2,"Male","",22,14,63.6363636363636,0.5,0.375,NA,0.5,0.166666666666667,1,0.833333333333333,0,NA,NA,NA,0,NA,2,4,0,2,3,1,6,1,0,0,0,1,0,0.125
"P001293","religious",3,"Female","",22,13,59.0909090909091,0.5,0.625,0.666666666666667,0,0.75,0.5,1,-0.5,NA,-1,NA,-0.5,NA,4,4,3,1,2,2,1,1,0,1,0,1,0,-0.125
"P001293","religious",4,"Female","",18,10,55.5555555555556,0.5,0.625,NA,0.5,0.75,0.5,1,NA,NA,NA,NA,NA,NA,2,4,0,2,2,2,2,0,0,0,0,0,0,-0.125
"P001293","religious",5,"Male","",22,15,68.1818181818182,0.5,0.833333333333333,NA,0.5,0.75,1,0.8,NA,-1,NA,NA,NA,NA,2,3,0,2,2,1,5,0,1,0,0,0,0,-0.333333333333333
"P001294","religious",1,"Female","",30,17,56.6666666666667,0.4,0.75,0.5,0,0.833333333333333,0.666666666666667,1,NA,NA,NA,NA,NA,NA,5,6,4,1,3,3,6,0,0,0,0,0,0,-0.35
"P001294","religious",2,"Male","",21,10,47.6190476190476,0.571428571428571,0.833333333333333,0.5,0.666666666666667,0.833333333333333,NA,-1,NA,NA,NA,NA,NA,NA,7,3,4,3,3,0,1,0,0,0,0,0,0,-0.261904761904762
"P001294","religious",3,"Female","",30,19,63.3333333333333,0.75,0.6875,1,0.5,0.75,0.666666666666667,1,NA,NA,NA,NA,NA,NA,4,8,2,2,2,6,4,0,0,0,0,0,0,0.0625
"P001294","religious",4,"Female","",22,14,63.6363636363636,0.8,0.5,1,0,0.833333333333333,0,1,NA,NA,NA,NA,NA,NA,5,5,4,1,3,2,3,0,0,0,0,0,0,0.3
"P001294","religious",5,"Male","",19,12,63.1578947368421,0.5,0.875,NA,0.5,0.833333333333333,1,1,NA,-1,NA,NA,NA,NA,2,4,0,2,3,2,2,0,1,0,0,0,0,-0.375
"P001295","religious",1,"Male","",36,19,52.7777777777778,0.666666666666667,0.854166666666667,1,0.5,0.875,0.866666666666667,0.925925925925926,1,NA,NA,1,NA,1,3,8,1,2,4,5,9,2,0,0,1,0,2,-0.1875
"P001295","religious",2,"Male","",29,17,58.6206896551724,-0.2,1,0,-0.5,1,1,1,NA,NA,NA,NA,NA,NA,5,8,3,2,2,6,2,0,0,0,0,0,0,-1.2
"P001295","religious",3,"Female","",28,17,60.7142857142857,0,-0.166666666666667,0,NA,1,-0.4,0.333333333333333,1,NA,NA,NA,NA,1,1,6,1,0,1,5,3,1,0,0,0,0,1,0.166666666666667
"P001295","religious",4,"Male","",28,15,53.5714285714286,0.6,0.75,0.666666666666667,0.666666666666667,0.75,NA,0.75,0,NA,NA,NA,0,NA,5,2,3,3,2,0,4,1,0,0,0,1,0,-0.15
"P001295","religious",5,"Male","",31,19,61.2903225806452,-0.166666666666667,0.944444444444444,0.333333333333333,-0.666666666666667,0.875,1,1,NA,1,NA,NA,NA,NA,6,9,3,3,4,6,2,0,1,0,0,0,0,-1.11111111111111
"P001296","religious",1,"Male","",32,18,56.25,0.5,0.729166666666667,0.666666666666667,0,0.833333333333333,0.666666666666667,0.833333333333333,NA,NA,NA,NA,NA,NA,4,8,3,1,3,5,4,0,0,0,0,0,0,-0.229166666666667
"P001297","religious",1,"Male","",31,19,61.2903225806452,0.5,0.9375,0.666666666666667,0,0.9,1,0.9,NA,NA,NA,NA,NA,NA,4,8,3,1,5,3,5,0,0,0,0,0,0,-0.4375
"P001299","secular",1,"Male","",32,19,59.375,0.666666666666667,0.954545454545455,1,0.5,0.875,1,0.833333333333333,1,NA,NA,NA,1,NA,3,11,1,2,4,7,3,1,0,0,0,1,0,-0.287878787878788
"P001300","religious",1,"Male","",37,20,54.0540540540541,0.6,0.833333333333333,0.666666666666667,0.5,0.9,0.25,0.875,NA,NA,NA,NA,NA,NA,5,9,3,2,5,4,4,0,0,0,0,0,0,-0.233333333333333
"P001301","religious",1,"Male","",29,17,58.6206896551724,0.6,0.833333333333333,0.666666666666667,0.5,0.9,0.75,1,NA,NA,NA,NA,NA,NA,5,9,3,2,5,4,3,0,0,0,0,0,0,-0.233333333333333
"P001302","secular",1,"Male","",26,13,50,0.5,0.75,0.5,NA,1,0,1,0,NA,NA,NA,0,NA,4,4,4,0,1,3,1,1,0,0,0,1,0,-0.25
"P001302","secular",2,"Female","",43,19,44.1860465116279,0.375,0.5,0.285714285714286,1,1,-0.25,1,NA,NA,NA,NA,NA,NA,8,6,7,1,2,4,2,0,0,0,0,0,0,-0.125
"P001303","religious",1,"Male","",37,22,59.4594594594595,0.8,0.863636363636364,1,0.75,0.916666666666667,0.4,0.875,1,NA,NA,NA,NA,1,5,11,2,4,6,5,4,1,0,0,0,0,1,-0.0636363636363636
"P001304","religious",1,"Male","",33,21,63.6363636363636,0.75,0.833333333333333,0.75,1,1,0.666666666666667,1,1,NA,NA,1,NA,1,4,6,4,1,3,3,2,1,0,0,1,0,1,-0.0833333333333334
"P001304","religious",2,"Male","",28,16,57.1428571428571,0.75,0.2,0.75,NA,1,-0.333333333333333,NA,1,NA,NA,NA,NA,1,4,5,4,0,3,3,0,1,0,0,0,0,1,0.55
"P001305","religious",1,"Male","",32,17,53.125,0.25,0.7,0.333333333333333,0,0.833333333333333,-0.5,1,1,NA,NA,NA,NA,1,4,5,3,1,3,2,4,1,0,0,0,0,1,-0.45
"P001305","religious",2,"Male","",25,9,36,NA,1,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,0,2,0,0,2,0,3,0,0,0,0,0,0,NA
"P001305","religious",3,"Female","",29,16,55.1724137931034,1,0.8,1,1,1,0.5,1,NA,NA,NA,NA,NA,NA,3,5,2,1,3,2,2,0,0,0,0,0,0,0.2
"P001305","religious",4,"Male","",27,12,44.4444444444444,1,1,NA,1,1,1,1,NA,NA,NA,NA,NA,NA,1,4,0,1,4,1,1,0,0,0,0,0,0,0
"P001305","religious",5,"Male","",27,12,44.4444444444444,0,1,NA,0,1,1,1,NA,NA,NA,NA,NA,NA,2,3,0,2,3,1,3,0,0,0,0,0,0,-1
"P001306","religious",1,"Female","",30,14,46.6666666666667,0.714285714285714,0.875,0.8,0.5,0.833333333333333,1,1,NA,NA,NA,NA,NA,NA,7,4,5,2,3,1,3,0,0,0,0,0,0,-0.160714285714286
"P001306","religious",2,"Male","",25,13,52,0.2,0.9,0.25,0,0.833333333333333,1,1,NA,NA,NA,NA,NA,NA,5,5,4,1,3,2,1,0,0,0,0,0,0,-0.7
"P001306","religious",3,"Female","",24,14,58.3333333333333,0.666666666666667,0.1,NA,0.666666666666667,0.833333333333333,-0.333333333333333,0,1,NA,NA,NA,NA,1,3,5,0,3,3,3,6,1,0,0,0,0,1,0.566666666666667
"P001306","religious",4,"Male","",24,11,45.8333333333333,-0.333333333333333,0.583333333333333,0,-0.5,0.166666666666667,1,1,NA,1,NA,NA,NA,NA,3,6,1,2,3,3,1,0,1,0,0,0,0,-0.916666666666667
"P001306","religious",5,"Male","",26,14,53.8461538461538,0.5,0.5,0.5,0.5,0.833333333333333,-1,0.5,1,NA,NA,NA,NA,1,6,5,4,2,3,2,2,1,0,0,0,0,1,0
